product_id,stock_quantity,sales_status,safety_stock,inventory_source,updated_at
prod_oy_a000000258833,46,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000256045,23,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000255290,78,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000189181,53,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000255328,10,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000245794,26,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000190395,18,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000146589,26,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000004434,60,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000213171,62,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000207054,67,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000258792,62,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000211003,20,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000229456,9,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000157178,58,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000218549,32,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000245459,64,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000137180,49,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000223425,21,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000228907,69,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000154177,56,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000224583,17,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
prod_oy_a000000254908,5,ON_SALE,3,AUTO_SEED,2026-07-02T06:48:07.319Z
