ingredient_id,effect_id,effect_name,effect_score
niacinamide,effect_brightening,미백·톤,70
niacinamide,effect_moisture_barrier,보습·장벽,65
niacinamide,effect_acne_sebum,여드름·피지,50
niacinamide,effect_wrinkle,주름·탄력,45
niacinamide,effect_calming,진정,40
salicylic_acid_bha,effect_acne_sebum,여드름·피지,70
salicylic_acid_bha,effect_exfoliation,각질,60
aha,effect_exfoliation,각질,65
aha,effect_wrinkle,주름·탄력,42
aha,effect_moisture_barrier,보습·장벽,42
pha,effect_exfoliation,각질,55
pha,effect_moisture_barrier,보습·장벽,48
pha,effect_wrinkle,주름·탄력,42
pha,effect_calming,진정,35
zinc_pca,effect_acne_sebum,여드름·피지,48
zinc_pca,effect_moisture_barrier,보습·장벽,32
glycerin,effect_moisture_barrier,보습·장벽,72
glycerin,effect_calming,진정,40
glycerin,effect_exfoliation,각질,30
panthenol,effect_moisture_barrier,보습·장벽,60
panthenol,effect_calming,진정,55
ceramides,effect_moisture_barrier,보습·장벽,74
ceramides,effect_calming,진정,40
cholesterol_fatty_acids,effect_moisture_barrier,보습·장벽,60
cholesterol_fatty_acids,effect_calming,진정,35
hyaluronic_acid,effect_moisture_barrier,보습·장벽,68
hyaluronic_acid,effect_wrinkle,주름·탄력,42
hyaluronic_acid,effect_calming,진정,38
squalane,effect_moisture_barrier,보습·장벽,52
dimethicone,effect_moisture_barrier,보습·장벽,52
dimethicone,effect_calming,진정,33
petrolatum_mineral_oil,effect_moisture_barrier,보습·장벽,72
petrolatum_mineral_oil,effect_calming,진정,37
urea,effect_moisture_barrier,보습·장벽,66
urea,effect_exfoliation,각질,52
urea,effect_calming,진정,37
centella_asiatica,effect_calming,진정,60
centella_asiatica,effect_wrinkle,주름·탄력,44
centella_asiatica,effect_moisture_barrier,보습·장벽,44
madecassoside,effect_calming,진정,58
madecassoside,effect_wrinkle,주름·탄력,44
madecassoside,effect_moisture_barrier,보습·장벽,44
tea_tree,effect_acne_sebum,여드름·피지,54
allantoin,effect_calming,진정,50
allantoin,effect_moisture_barrier,보습·장벽,40
colloidal_oatmeal,effect_calming,진정,58
colloidal_oatmeal,effect_moisture_barrier,보습·장벽,46
bisabolol,effect_brightening,미백·톤,58
green_tea,effect_acne_sebum,여드름·피지,52
green_tea,effect_calming,진정,46
green_tea,effect_wrinkle,주름·탄력,42
retinol,effect_wrinkle,주름·탄력,70
retinol,effect_brightening,미백·톤,48
retinol,effect_exfoliation,각질,50
retinol,effect_acne_sebum,여드름·피지,40
retinal,effect_wrinkle,주름·탄력,72
retinal,effect_exfoliation,각질,48
retinal,effect_brightening,미백·톤,43
adenosine,effect_wrinkle,주름·탄력,55
peptides,effect_wrinkle,주름·탄력,52
ascorbic_acid,effect_brightening,미백·톤,62
ascorbic_acid,effect_wrinkle,주름·탄력,45
arbutin,effect_brightening,미백·톤,60
tranexamic_acid,effect_brightening,미백·톤,65
kojic_acid,effect_brightening,미백·톤,50
licorice_extract,effect_brightening,미백·톤,55
licorice_extract,effect_calming,진정,42
phytosphingosine,effect_moisture_barrier,보습·장벽,55
phytosphingosine,effect_acne_sebum,여드름·피지,42
glutathione,effect_brightening,미백·톤,50
