ingredient_id,name_ko,name_en,description,source_url
adenosine,아데노신,Adenosine,A군 canonical 단일 성분,
aha,AHA,Alpha Hydroxy Acids,글라이콜릭 락틱 만델릭 등 AHA 산 계열,
allantoin,알란토인,Allantoin,A군 canonical 단일 성분,
arbutin,알부틴,Arbutin,알파-알부틴은 별도 검토,
ascorbic_acid,비타민C,Ascorbic Acid,순수 L-ascorbic acid 기준이며 유도체 제외,
bisabolol,비사보롤,Bisabolol,알파-비사보롤 동의어 포함,
centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,병풀 추출물 계열이며 분리 정제 triterpene은 제외,
ceramides,세라마이드,Ceramides,NP AP EOP NS NG AS 등 세라마이드 하위형 포함,
cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,피부장벽 지질인 콜레스테롤과 free fatty acid 계열,
colloidal_oatmeal,콜로이달오트밀,Colloidal Oatmeal,귀리 추출물과 오트 펩타이드는 제외,
dimethicone,디메치콘,Dimethicone,다이메티콘 표준명과 구명칭 디메치콘 포함,
glycerin,글리세린,Glycerin,A군 canonical 단일 성분,
green_tea,녹차,Green Tea,Camellia sinensis 잎 추출물 중심,
hyaluronic_acid,히알루론산,Hyaluronic Acid,하이알루로닉애씨드와 주요 하이알루로네이트 염 포함,
ing_pending_00010f591093,클로로제닉애씨드,,,
ing_pending_0010929c38f9,상황버섯추출물,,,
ing_pending_001dfc2333af,삼색제비꽃추출물,,,
ing_pending_0036a4c14fd7,베타인살리실레이트,Salicylic Acid,모공 속 각질·피지를 녹이는 지용성 BHA,https://www.incidecoder.com/ingredients/salicylic-acid
ing_pending_00426d901628,카프릴로일살리실릭애씨드소듐하이알루로네이트크로스폴리머,,,
ing_pending_004c5a59614b,영지버섯줄기추출물,,,
ing_pending_006df1172a80,세라마이드엔피,Ceramide NP,피부 장벽 구성 지질,https://www.incidecoder.com/ingredients/ceramide
ing_pending_0072d0dc90cd,에스에이치-폴리펩타이드-138,,,
ing_pending_00883b68c2d3,트라이에톡시카프릴릴실레인,,,
ing_pending_008dad0ca513,토코페롤1,,,
ing_pending_0096563e04ea,콜레스테롤,,,
ing_pending_00a29d3f049b,변성옥수수전분,,,
ing_pending_00a50002a1cb,포타슘하이드록사이드,,,
